Algorithms, percent of models, TP, FN, TN, FP, Precision, Recall, F-Measure, Accuracy
Random Forest + SVM, 0.4, 0.9998294097577619, 1.70590242238144E-4, 0.3515151515151515, 0.6484848484848484, 0.6065769344395249, 0.9998294097577619, 0.7550685547577247, 0.836138740117317
Random Forest + SVM, 0.5, 0.9993176390310474, 6.82360968952576E-4, 0.43353535353535355, 0.5664646464646464, 0.6382225985617691, 0.9993176390310474, 0.7789574701487078, 0.8564651874521806
Random Forest + SVM, 0.6, 0.9978391902649835, 0.0021608097350164905, 0.517003367003367, 0.482996632996633, 0.6738351237797527, 0.9978391902649835, 0.8044379083119652, 0.8764345830145371
Random Forest + SVM, 0.7, 0.9962470146707608, 0.0037529853292391675, 0.5797979797979798, 0.4202020202020202, 0.7033412358251486, 0.9962470146707608, 0.8245545428796601, 0.8910992093853609
Random Forest + SVM, 0.7999999999999999, 0.9943705220061413, 0.005629477993858751, 0.6277777777777778, 0.37222222222222223, 0.7276275439085587, 0.9943705220061413, 0.840339365048091, 0.9018107625605712
Random Forest + SVM, 0.8999999999999999, 0.9625459645930475, 0.0374540354069525, 0.6689113355780022, 0.33108866442199775, 0.7440632331602904, 0.9625459645930475, 0.8393193514054967, 0.888407152370427
Random Forest + SVM, 0.9999999999999999, 0.9225861480723303, 0.07741385192766974, 0.702020202020202, 0.29797979797979796, 0.7558675146200812, 0.9225861480723303, 0.8309468581309789, 0.8668961999489926
SVM, 0.1, 0.9996588195155237, 3.41180484476288E-4, 0.2585858585858586, 0.7414141414141414, 0.5741625089518045, 0.9996588195155237, 0.7293923465477391, 0.8125478194338179
SVM, 0.2, 0.9993176390310474, 6.82360968952576E-4, 0.29494949494949496, 0.705050505050505, 0.5863273392554272, 0.9993176390310474, 0.7390396468158604, 0.8214741137464933
SVM, 0.30000000000000004, 0.9992039122028886, 7.960877971113385E-4, 0.31212121212121213, 0.6878787878787879, 0.5922672979543412, 0.9992039122028886, 0.743709088054876, 0.8257247300858624
SVM, 0.4, 0.9991470487888093, 8.529512111907199E-4, 0.32272727272727275, 0.6772727272727272, 0.5960005143438093, 0.9991470487888093, 0.7466295517058957, 0.8283601122162714
SVM, 0.5, 0.9989764585465711, 0.0010235414534288639, 0.3292929292929293, 0.6707070707070707, 0.5983028765895052, 0.9989764585465711, 0.7483856776281292, 0.8298903340984443
SVM, 0.6, 0.9984078244057774, 0.001592175594222677, 0.33585858585858586, 0.6641414141414141, 0.600528273844226, 0.9984078244057774, 0.7499638391292657, 0.8311230128368613
SVM, 0.7, 0.9972705561241897, 0.002729443875810304, 0.3447330447330447, 0.6552669552669552, 0.6034783169821446, 0.9972705561241897, 0.751937005106603, 0.8325135716107407
SVM, 0.7999999999999999, 0.996417604912999, 0.0035823950870010235, 0.35138888888888886, 0.6486111111111111, 0.6057144141053372, 0.996417604912999, 0.7534266821955489, 0.8335564906911502
SVM, 0.8999999999999999, 0.949998104552864, 0.05000189544713598, 0.42210998877665545, 0.5778900112233446, 0.6217720360173358, 0.949998104552864, 0.7516140438526959, 0.8167134234463997
SVM, 0.9999999999999999, 0.912862504264756, 0.08713749573524394, 0.47868686868686866, 0.5213131313131313, 0.6365067719874677, 0.912862504264756, 0.7500383217401132, 0.8032389696505994
J48 + Random Tree + SVM, 0.1, 1.0, 0.0, 0.22727272727272727, 0.7727272727272727, 0.5641025641025641, 1.0, 0.7213114754098361, 0.8048967100229534
J48 + Random Tree + SVM, 0.2, 1.0, 0.0, 0.2585858585858586, 0.7414141414141414, 0.574245939675174, 1.0, 0.7295504789977892, 0.81280285641418
J48 + Random Tree + SVM, 0.30000000000000004, 0.9996588195155237, 3.41180484476288E-4, 0.47003367003367, 0.52996632996633, 0.6535318929962343, 0.9996588195155237, 0.7903612278050643, 0.8659355606562952
J48 + Random Tree + SVM, 0.4, 0.9985499829409757, 0.0014500170590242237, 0.5969696969696969, 0.403030303030303, 0.7124457963169711, 0.9985499829409757, 0.8315774315553469, 0.897156337668962
J48 + Random Tree + SVM, 0.5, 0.9970658478335039, 0.0029341521664960762, 0.674949494949495, 0.32505050505050503, 0.7541437980541927, 0.9970658478335039, 0.858756148541113, 0.9157357816883448
J48 + Random Tree + SVM, 0.6, 0.9950528829750939, 0.004947117024906175, 0.7286195286195286, 0.2713804713804714, 0.7857127890329725, 0.9950528829750939, 0.8780782201804703, 0.9277820283941172
J48 + Random Tree + SVM, 0.7, 0.9929326899644197, 0.007067310035580251, 0.7673881673881674, 0.2326118326118326, 0.8101971586288416, 0.9929326899644197, 0.8923053930325492, 0.9359857179290997
J48 + Random Tree + SVM, 0.7999999999999999, 0.990532241555783, 0.009467758444216991, 0.7964646464646464, 0.20353535353535354, 0.8295445296630641, 0.990532241555783, 0.9029186190725711, 0.9415327722519765
J48 + Random Tree + SVM, 0.8999999999999999, 0.9869214147617423, 0.013078585238257705, 0.8190796857463524, 0.18092031425364757, 0.845081478287146, 0.9869214147617423, 0.9105105797645027, 0.944543625492363
J48 + Random Tree + SVM, 0.9999999999999999, 0.9423404981235073, 0.057659501876492665, 0.8371717171717171, 0.16282828282828282, 0.8526665920765041, 0.9423404981235073, 0.8952636070324544, 0.9157867890844172
Random Forest + Random Tree, 0.1, 0.9993176390310474, 6.82360968952576E-4, 0.7383838383838384, 0.26161616161616164, 0.792521890140561, 0.9993176390310474, 0.8839866419308566, 0.9334353481254782
Random Forest + Random Tree, 0.2, 0.998805868304333, 0.001194131695667008, 0.8136363636363636, 0.18636363636363637, 0.8427536013797057, 0.998805868304333, 0.9141678631068932, 0.9520530476919153
Random Forest + Random Tree, 0.30000000000000004, 0.9982940975776186, 0.0017059024223814397, 0.8481481481481481, 0.15185185185185185, 0.8679716674851762, 0.9982940975776186, 0.9285826367670628, 0.960384255717079
Random Forest + Random Tree, 0.4, 0.9971852610030706, 0.0028147389969293756, 0.8734848484848485, 0.12651515151515152, 0.8874120271686738, 0.9971852610030706, 0.9391016314025549, 0.9659525631216527
Random Forest + Random Tree, 0.5, 0.9959058341862845, 0.0040941658137154556, 0.8963636363636364, 0.10363636363636364, 0.9057458969363905, 0.9959058341862845, 0.948688561934215, 0.9707727620504973
Random Forest + Random Tree, 0.6, 0.9941430683498237, 0.005856931650176277, 0.912962962962963, 0.08703703703703704, 0.9194981145108159, 0.9941430683498237, 0.9553647623063618, 0.9736461786959109
Random Forest + Random Tree, 0.7, 0.9926402495491543, 0.00735975045084564, 0.9252525252525252, 0.07474747474747474, 0.9299715810421835, 0.9926402495491543, 0.9602845541581925, 0.9756257514482457
Random Forest + Random Tree, 0.7999999999999999, 0.9912572500852951, 0.008742749914704879, 0.9345959595959596, 0.06540404040404041, 0.9381031168712993, 0.9912572500852951, 0.9639479817791953, 0.9769510328997705
Random Forest + Random Tree, 0.8999999999999999, 0.9876037757306949, 0.01239622426930513, 0.9418630751964086, 0.05813692480359147, 0.94440598441479, 0.9876037757306949, 0.9655219505314259, 0.9760548612882202
Random Forest + Random Tree, 0.9999999999999999, 0.9788809280109178, 0.021119071989082226, 0.9476767676767677, 0.05232323232323232, 0.9492600647516032, 0.9788809280109178, 0.9638429726826511, 0.9710022953328232
Random Tree + SVM, 0.1, 1.0, 0.0, 0.3090909090909091, 0.6909090909090909, 0.5913978494623656, 1.0, 0.7432432432432433, 0.8255547054322877
Random Tree + SVM, 0.2, 1.0, 0.0, 0.3297979797979798, 0.6702020202020202, 0.598729966737224, 1.0, 0.7490069982977112, 0.8307829635297118
Random Tree + SVM, 0.30000000000000004, 1.0, 0.0, 0.3424242424242424, 0.6575757575757576, 0.603290676416819, 1.0, 0.7525655644241733, 0.8339709257842387
Random Tree + SVM, 0.4, 0.9997441146366428, 2.5588536335721597E-4, 0.39646464646464646, 0.6035353535353535, 0.6235619768626591, 0.9997441146366428, 0.7680651477182017, 0.8474241264983423
Random Tree + SVM, 0.5, 0.9991811668372569, 8.188331627430911E-4, 0.5141414141414141, 0.4858585858585859, 0.6728312592463667, 0.9991811668372569, 0.8041570890391724, 0.8767151236929355
Random Tree + SVM, 0.6, 0.9977823268509042, 0.002217673149095872, 0.5947811447811447, 0.4052188552188552, 0.7111771106129352, 0.9977823268509042, 0.8304468048505007, 0.8960299243390292
Random Tree + SVM, 0.7, 0.9960033143247063, 0.0039966856752936585, 0.6526695526695526, 0.3473304473304473, 0.7414414367859755, 0.9960033143247063, 0.8500737971028122, 0.909316136554086
Random Tree + SVM, 0.7999999999999999, 0.9936028659160696, 0.0063971340839304, 0.6960858585858586, 0.3039141414141414, 0.7657725180500875, 0.9936028659160696, 0.8649362444290832, 0.918483805151747
Random Tree + SVM, 0.8999999999999999, 0.9610675158269836, 0.03893248417301642, 0.7298540965207632, 0.27014590347923684, 0.7805856407644891, 0.9610675158269836, 0.8614752022474127, 0.9026892232707076
Random Tree + SVM, 0.9999999999999999, 0.9200614124872057, 0.07993858751279427, 0.7568686868686869, 0.24313131313131314, 0.7909793383533843, 0.9200614124872057, 0.850651355832508, 0.8788574343279776
Random Forest + Random Tree + SVM, 0.1, 1.0, 0.0, 0.2515151515151515, 0.7484848484848485, 0.5719237435008665, 1.0, 0.7276736493936052, 0.811017597551645
Random Forest + Random Tree + SVM, 0.2, 1.0, 0.0, 0.2909090909090909, 0.7090909090909091, 0.5851063829787234, 1.0, 0.7382550335570469, 0.8209640397857689
